Concept,Science,Science,Science,Science,Science,News,News,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Healthcare,Voting,Voting,Voting,Voting,Voting,Voting,Police,Police,Police,Police,Police,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Firefighters,Firefighters,Firefighters,Firefighters,Firefighters,Religion,Religion,Religion,Religion,Religion
ParticipantID,I believe that science as a process results in the most accurate depiction of information.,I believe that science often conflicts with religious views.,I believe that science is a driving force for the advancement and benefit of our society.,"If I could, I would vote for policies that increase government funding for scientific research.",I seek out primary scientific source material when I read or hear someone make a scientific claim.,I try to keep up with current events by watching the news regularly.,I think the news that most other people consume is dishonest.,I believe that healthcare workers prioritize personal well being over risk of treatment.,I believe that healthcare as an institution considers the financial burden when considering treatment.,I believe healthcare as an institution generally cares about who I am as a person.,"If I have a mildly irritating cough for almost a month, I would see a doctor.","If I get into a car accident and am shaken up but seem to be physically unharmed, I would go to the doctor for a checkup just in case.",If I had a flu I would wait it out instead of going to the doctor.,I believe that the government facilitates equal access to voting for all.,I believe my vote matters.,I make a plan for voting days to ensure I can make it to the polls prepared.,I look up candidates beforehand to make sure I know who I am voting for.,I participate in voting regularly.,There is a candidate that I am excited to vote for in the upcoming election.,I believe the police serve a net societal good.,I believe the police prioritize my safety.,If it was 2am and the house next door was throwing a party with loud music I would call the police.,If I was walking alone at night and saw a suspicious person walking behind me for several blocks I would call the police.,If it was 2am and I was awoken to the sound of breaking glass on the far side of the house I would call the police.,I believe America tries its best to provide aid to immigrants.,I think immigrants are a threat to America.,"If it was within my means, I would donate to charities that supports immigrants’ integration into American life.","If I knew how and was able to, I would vote for policies that allow for the immigration of more people into America.",This country benefits from easier access to immigration.,I feel that America benefits from more cultural diversity.,I believe firefighters serve a net societal good.,I think that most firefighters are capable of handling a fire emergency.,I believe I am safer with a firefighter station in my neighborhood.,I would call firefighters for emergency assistance for an event other than a fire.,I believe that fire departments prioritize my safety.,I believe organized religion serves a net societal good.,I believe that religion as an institution is generally inclusive to all people.,I believe that religion should be considered in political affairs.,When I am going through a hard time I turn to religion for comfort.,When I see an event that is sponsored by a religious organization I feel discouraged to attend.
11889642,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree
11889643,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree
11889644,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
11889645,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree
11889646,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree
11889648,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
11889649,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
11889650,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
11889651,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree
