ParticipantID,ratReligion,explainReligion,ratPolice,explainPolice,ratFirefighters,explainFirefighters,ratHealthcare,explainHealthcare,ratVoting,explainVoting,ratImmigration,explainImmigration,ratScience,explainScience,ratNews,explainNews
11889642,0,I dont have any thoughts or feelings about religion ,2,I think the police are a good thing. I think the media makes them seem worse than they are.,2,I think firefighters are good for communities.,-3,The healthcare system in this country is awful.,0,I think the voting system is not great.,-2,I think immigration impacts most communites in a negative way.,3,I think science is really important and we need to heed thier advice more than we do.,0,I am neutral about the news.
11889643,3,Religion is vital and necessary to our society to give people meaning.,4,"Without police, there would be anarchy.",4,Firefighters save many lives every day.,-3,Healthcare is too expensive in this country.,4,Voting is the only way the people at the bottom get a say in what happens in the world.,2,I believe that immigration has created a net positive for our country.,2,Science is the best method we have for undertanding the world we live in right now.,-3,Most news is just propaganda at this point.
11889644,-5,A corrpupting and antiquated influence.,-3,Crooked and abusive.,3,Necessary to keep us safe.,4,It's wodnerful if you can afford it.,5,Crucial to democracy.,1,America is founded by immigrants.,5,A way to gian knowledge.,-1,Only out to sell advertisements.
11889645,5,Good as a Roman Catholic it is in my upbringing. ,3,Good but there are bad cops who need to be removed. And some reforms are needed.,5,They help save in in emergencies and are much needed in all communities. ,5,It is tough to figure out what to do as it cost so much. We need answers to that question. But also care for those who need it. ,5,A right other countries do not have. So use it wisely. ,-5,Illegal immagration is destroying America. I want the borders closed and no more legal immigrants for a decade. And to kick out the illegal ones we find. When the country is stable we can open the borders again.,2,Is to much tied to politics and those who donate. It cannot be trusted. ,1,Most news is liberal bias. Need to find alternative news for more truth. 
11889646,5,Its the basis for my existence. I would be lost without it. It helps in the good times as well as the bad. I feel like without it I wouldn't have some of the morals that I do.,2,They help people when needed. I feel like if there was an emergency than they are the only ones that would come help. So I look up to them for that.,3,I think they try and help no matter what. They don't do wrong and only do good.,-3,I don't think it help and does more harm. I think that doctors only care about getting money in the end not helping people.,-1,I feel sorta negaitive because I don't think my vote counts. I see it as a waste of time that I still go do. I don't think it matters who I vote for in the end.,-5,They are like a parasite and don't do any good or help. All they do is take resources that I'm not even allowed to have.,-2,"I feel sorta negative towards it. I don't feel like it benefits most people. Also, I feel like they are hiding things from the public due to funding. I don't really know any great accomplishment they have done for a long time.",0,I feel neutral because its necessary. Sometimes its good and sometimes its bad. Its something that help and it harms. So my opinion is in the middle.
11889648,-5,Cancer upon the earth ,-5,corrupt,2,I have no reason to dislike them ,5,I think healthcare is important,5,"Voting is very important

",0,I am generally in favor as long as it doesnt cost any money,5,I love science and scientific discovery ,2,being informed is important
11889649,-4,"Organized religion is to blame for so much human suffering and even wars. While I have a deep spirituality and connection with the universe/creator/God (whatever you want to call it), organized religion is harmful. Especially extreme religions, like America's Christianity as it is today. I am fully aware that the Bible was written by and for men, and many chapters that spoke of the divine feminine have been long removed to keep us under the thumb of a patriarchal society. ",-5,"The police don't help prevent crime; they only respond to it and often do so ineptly. I can't ignore the inherent racism of the police force and the type of people who are attracted to that career. I know several police officers, none of whom I would ever consider sharing a meal with much less a life or entrusting the life of my loved ones, especially not my BIPOC loved ones. ",5,"Firefighters are among the bravest, most selfless people I know. I deeply appreciate the work they do and the sacrifices they make to keep people safe. ",5,"Healthcare is a human right, not a privilege. While the state of the healthcare system in the USA is messed up thanks to insurance companies, I still trust most healthcare providers and the care they provide to people. ",5,"Voting is very important. I've been registered to vote since I was 18 and haven't missed a single election, local or national. While it can be disheartening to see the politicians I vote for disappointing and backing down on campaign promises, I continue to vote and always will for as long as I'm able. ",3,"By and large, I think immigration is a net positive. It benefits the people who are moving to another country either for safety, education, or employment reasons. It also benefits the country they are moving to because of the increase in diversity, talents, and skills. ",5,"I love science! Of course, not every field of science is within my realm of understanding or interest. But I absolutely love the scientific discoveries humanity has made and read research studies on PubMed frequently (part of my day job) and am always in awe of the new discoveries being made. ",2,"I enjoy reading and watching the news to keep informed about current events. However, I do think much of the mainstream media is bought & owned and often censored based on what those owners want the general public to know. I trust independent journalists the most who are not tied to a specific organization, though it can be hard to find which ones are trustworthy. "
11889650,-5,Religions are based on superstitions that demand fealty to their own claims and dismissal of any new information. Regligious belief is intellectually dishonest and is unproductive for society.,0,"Police serve many critical functions that are important to preserving public safety and helping people get along with each other. But many police have too much power and protection by their own authority, and fail to adequately respect the responsibility that comes with the power they hold.",4,"Firefighters put themselves at great personal risk to assist people whose lives and property are in grave danger. That is an admirable profession, and one that not everyone could do.",0,"The act of delivering healthcare is necessary and noble. But it is attached to the healthcare system, which we have foolishly constructed into a vast, wasteful for-profit industry.",5,"Though it is not flawless, voting is a civic responsibility. It encourages feeligs of participation with fellow citizens and is a key way we have to make our perspectives apply to our collective situation.",4,"Immigration is essential to supporting the future of our culture and economy. We would be worse off without immigrants, and we can learn a lot from them. Their stories and struggles deserve more of our respect.",5,"The pursuit of science is the best framework we have to achieve intellectually honest beliefs. It is an indispensable tool to discover facts, form truths, and enact best practices and policies.",-1,A lot of news these days is misleading and low quality. This is because the instantaneous nature of the internet incentivizes articles to be published before all the facts are known. I don't like this about the news media.
11889651,-1,I don't believe in religion.  I think its stories told to keep people in line.,2,"Despite issues, we are better off with them than without.",3,They risk their lives to protect communities.,2,"Despite the high costs, we need HC to keep us healthy.",2,I love that I live in a place where I can vote and that my vote matters.,2,America is made up of immigrants.,3,It leads to discoveries to improve society.,3,News makes sure we are aware and can adapt.
11889652,4,"I think religion and faith is important and helps us stay morally sound. However, people use religion as an excuse for awful things.",5,Police also work very hard and risk their lives to protect others. Police have a lot of authority and must be very careful not to misuse that authority. I believe most police officers are excellent.,5,Firefighters work hard and risk their lives to protect others.,4,"I'm very thankful for medical facilities, but being a little more patient centered and less expensive would be ideal.",5,I'm so thankful that I am able to vote and that voices in the USA are heard.,3,"When done legally, I think immigration is wonderful.",4,Science is amazing but sometimes it moves too quickly or for the wrong reasons.,-1,"Watching the news can be a great way to get information, but more often than not it is biased news and focused on bad things instead of good."
