allsides_media_bias_ratings/publication/source_name,allsides_media_bias_ratings/publication/source_type,allsides_media_bias_ratings/publication/media_bias_rating,allsides_media_bias_ratings/publication/source_url,allsides_media_bias_ratings/publication/allsides_url
A Project for America,Think Tank / Policy Group,Center,https://communityconversationsforamerica.org/,https://www.allsides.com/news-source/project-america-media-bias
A Starting Point,Video,Mixed,https://www.astartingpoint.com/,https://www.allsides.com/news-source/starting-point-media-bias
AARP,Think Tank / Policy Group,Center,http://www.aarp.org/,https://www.allsides.com/news-source/aarp-media-bias
ABC News (Online),News Media,Lean Left,http://abcnews.go.com/,https://www.allsides.com/news-source/abc-news-media-bias
Aberdeen News,News Media,Center,https://www.aberdeennews.com/,https://www.allsides.com/news-source/aberdeen-news-media-bias
Above The Law,News Media,Lean Left,https://abovethelaw.com/,https://www.allsides.com/news-source/above-law-media-bias
Abridge News,News Media,Mixed,https://abridgenews.com,https://www.allsides.com/news-source/abridge-news-media-bias
Accuracy in Media ,Think Tank / Policy Group,Right,http://www.aim.org,https://www.allsides.com/news-source/accuracy-media
ACLU,Think Tank / Policy Group,Lean Left,https://www.aclu.org/,https://www.allsides.com/news-source/american-civil-liberties-union
Addison County Independent,News Media,Center,https://www.addisonindependent.com/,https://www.allsides.com/news-source/addison-county-independent-media-bias
Adventist Today,News Media,Lean Left,https://atoday.org/,https://www.allsides.com/news-source/adventist-today-media-bias
Advocate,News Media,Lean Left,https://www.advocate.com/,https://www.allsides.com/news-source/advocate-media-bias-0
AFP Fact Check,Fact Check,Center,https://factcheck.afp.com/,https://www.allsides.com/news-source/afp-fact-check-media-bias
AframNews,News Media,Left,https://aframnews.com/,https://www.allsides.com/news-source/aframnews-media-bias
African American Conservatives,News Media,Right,http://africanamericanconservatives.com/,https://www.allsides.com/news-source/african-american-conservatives-media-bias
African American Intellectual History Society,Think Tank / Policy Group,Left,https://www.aaihs.org/,https://www.allsides.com/news-source/african-american-intellectual-history-society-media-bias
Afro,News Media,Left,https://afro.com/,https://www.allsides.com/news-source/afro-media-bias
Aiken Standard,News Media,Center,http://www.aikenstandard.com/,https://www.allsides.com/news-source/aiken-standard-media-bias
AJ+,News Media,Left,https://www.ajplus.net/,https://www.allsides.com/news-source/aj-media-bias
Akron Beacon Journal,News Media,Center,https://www.beaconjournal.com/,https://www.allsides.com/news-source/akron-beacon-journal-media-bias
Al Jazeera,News Media,Lean Left,https://www.aljazeera.com/,https://www.allsides.com/news-source/al-jazeera-media-bias
Alabama News Network,News Media,Center,https://www.alabamanews.net/,https://www.allsides.com/news-source/alabama-news-network-media-bias
