ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
11889642,10,35,Yes,Male,Male,0,0,0,0,0,1,Accountant,22655,22645,22655,"$45,500-$55,999",5,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
11889643,10,27,Yes,Male,Male,0,0,0,0,0,1,community manager,32277,32277,32277,"$56,000-$78,000",3,Widowed,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
11889644,11,42,Yes,Male,Male,0,0,0,0,0,1,merchandiser,78109,78109,78109,"More than $78,000",5,Divorced,Some college,Bachelor's degree (4 years of college),"$12,501-$22,499",Divorced,1,,,
11889645,3,28,Yes,Male,Male,0,0,0,0,0,1,Administrative Assistant,11421,11374,11374,"$45,500-$55,999",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
11889646,7,41,Yes,Female,Female,0,0,0,0,0,1,manufacturing,66749,66749,67460,"Less than $25,000",5,Married,Some college,Some college,"$42,500-$80,000",Married,0,,,
11889648,10,36,Yes,Female,Female,0,0,0,0,0,1,NP,43228,43119,43064,"$56,000-$78,000",4,Divorced and remarried (both),Associate's degree (2 years of college),Master's degree,"More than $80,000",Married,2,,,
11889649,3,44,Yes,Female,Female,0,0,0,0,0,1,Health and Medical Writer,16830,16830,33460,"Less than $25,000",5,__other,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,My dad died when I was 6; my mom eventually remarried and remains married to my stepdad,,
11889650,9,32,Yes,Female,Female,0,0,0,0,0,1,Sales Support Specialist,32931,32927,44092,"$56,000-$78,000",4,Married,Associate's degree (2 years of college),Master's degree,"More than $80,000",Married,0,,,
11889651,2,42,Yes,Male,Male,0,0,0,0,0,1,Product Manager,7661,7661,94541,"More than $78,000",5,Widowed,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
11889652,2,35,Yes,Female,Female,0,0,0,0,0,1,Homemaker,47303,47303,49426,"$56,000-$78,000",7,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
11889654,11,47,Yes,Male,Male,0,0,0,0,0,1,vp of engineering,74074,75002,75013,"$25,001-$40,499",8,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
11889655,5,31,Yes,Male,Male,0,0,0,0,0,1,software developer,95113,95113,95113,"$25,001-$40,499",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,1,,,
11889657,0,40,Yes,Male,Male,0,0,0,0,0,1,self employed web developer,30503,30512,30512,Don't know,3,Divorced,Highschool degree,Some college,"$22,500-$42,999",Single,0,,,
11889662,6,58,Yes,Male,Male,0,1,0,0,0,1,option trader,77040,77040,77040,"$25,001-$40,499",6,Married,Some college,Master's degree,"$42,500-$80,000",Single,0,,,
11889665,4,35,Yes,Male,Male,0,0,0,0,0,1,unemployed,40977,40977,40976,"Less than $25,000",5,Widowed,Highschool degree,Some college,"$12,501-$22,499",Single,0,,,
11889684,4,28,Yes,Female,Female,0,0,0,0,0,1,data analyst,96162,96162,96162,"$45,500-$55,999",5,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
11889688,5,23,Yes,Male,Male,0,0,0,0,0,1,Public relations Officer,10116,10116,30301,"$56,000-$78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
11889718,3,32,Yes,Female,Female,0,0,0,0,0,1,Engineer,90060,90060,60602,"$45,500-$55,999",6,Married,Highschool degree,Highschool degree,"$12,501-$22,499",Married,0,,,
11889747,7,38,Yes,Female,Female,0,0,0,0,0,1,merchandiser,3220,3220,92110,"$25,001-$40,499",6,Never married,Bachelor's degree (4 years of college),Some college,"$22,500-$42,999",Single,0,,,
11890055,3,45,Yes,Male,Male,0,0,0,0,0,1,Self Employed,23860,33990,98683,"$56,000-$78,000",4,Divorced,Highschool degree,Bachelor's degree (4 years of college),"Less than $12,500",Single,0,,,
11890057,5,48,Yes,Female,Female,0,0,0,0,0,1,editor/writer,11421,11729,11763,"More than $78,000",4,__other,Bachelor's degree (4 years of college),Some college,"$22,500-$42,999",Married,0,separated but not divorced,,
11890058,11,55,Yes,Female,Female,0,0,0,0,0,1,Paralegal,44130,44130,34655,"$25,001-$40,499",4,__other,Highschool degree,Highschool degree,"$22,500-$42,999",Divorced,0,passed away,,
11890059,1,30,Yes,Female,Female,0,0,0,0,0,1,customer service representative,60132,60132,30101,"$25,001-$40,499",3,Divorced and remarried (one),Highschool degree,Associate's degree (2 years of college),"More than $80,000",Married,1,,,
11890062,10,43,Yes,Male,Male,0,0,0,0,0,1,Teacher,28572,28572,28269,"$45,500-$55,999",4,__other,Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,They remained married until my mom died last year. ,,
11890063,3,40,Yes,Male,Male,0,0,0,0,0,1,unemployed,7960,7054,7005,"Less than $25,000",7,Never married,Highschool degree,Highschool degree,"$12,501-$22,499",Single,0,,,
