Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1729268603631,18/10/2024 16:23:23,1729268600070,-4,18/10/2024 12:23:20,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,BEGIN QUESTIONNAIRE,
2,1729268635798,18/10/2024 16:23:55,1729268632262,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_religion,3
3,1729268635920,18/10/2024 16:23:55,1729268632263,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_science,5
4,1729268635920,18/10/2024 16:23:55,1729268632263,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_healthcare,4
5,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_community,5
6,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_firefighter,5
7,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_police,5
8,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_gun,3
9,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_immigration,2
10,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_media,4
11,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,comf_voting,4
12,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,OpenEnded,I am not really sure
13,1729268635920,18/10/2024 16:23:55,1729268632264,-4,18/10/2024 12:23:52,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,END QUESTIONNAIRE,32194
1,1729268620374,18/10/2024 16:23:40,1729268620005,-4,18/10/2024 12:23:40,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,BEGIN QUESTIONNAIRE,
2,1729268694395,18/10/2024 16:24:54,1729268694061,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_religion,7
3,1729268694520,18/10/2024 16:24:54,1729268694062,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_science,7
4,1729268694520,18/10/2024 16:24:54,1729268694062,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_healthcare,7
5,1729268694520,18/10/2024 16:24:54,1729268694062,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_community,7
6,1729268694520,18/10/2024 16:24:54,1729268694062,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_firefighter,7
7,1729268694520,18/10/2024 16:24:54,1729268694062,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_police,7
8,1729268694520,18/10/2024 16:24:54,1729268694062,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_gun,7
9,1729268694520,18/10/2024 16:24:54,1729268694063,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_immigration,7
10,1729268694520,18/10/2024 16:24:54,1729268694063,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_media,7
11,1729268694520,18/10/2024 16:24:54,1729268694063,-4,18/10/2024 12:24:54,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,comf_voting,7
