,0
0,True
1,True
2,False
3,False
4,True
5,True
6,True
7,True
8,True
9,False
10,True
11,True
12,True
13,True
14,False
15,False
16,True
17,True
18,True
19,True
20,False
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,False
33,False
34,True
35,True
36,False
37,False
38,True
39,True
40,True
41,True
42,True
43,True
44,True
45,True
46,False
47,False
48,True
49,True
50,True
51,True
52,True
53,True
54,True
55,True
56,True
57,True
58,True
59,True
60,False
61,False
62,True
63,True
64,False
65,False
66,False
67,False
68,False
69,False
70,True
71,True
72,True
73,True
74,True
75,True
76,True
77,True
78,True
79,True
