,0,1,2,3,4,5
0,True,False,False,False,False,False
1,False,False,True,False,True,True
2,True,True,True,False,False,True
3,False,False,False,False,True,False
4,True,False,False,False,False,True
5,False,False,False,False,False,True
6,True,True,True,True,False,False
7,True,False,False,True,False,False
8,False,True,False,False,False,False
9,False,False,False,False,False,False
10,False,False,True,False,False,True
11,False,False,False,False,False,False
12,False,False,False,False,False,False
13,False,False,False,False,False,False
14,False,False,False,False,False,True
15,False,False,False,False,False,False
16,False,False,False,True,True,True
17,False,False,False,False,False,False
18,False,False,False,False,False,False
19,False,False,False,True,True,False
20,True,False,False,False,False,True
21,True,True,True,False,False,True
22,False,False,False,False,False,True
23,False,True,False,False,False,False
24,False,False,True,True,True,True
25,False,True,False,False,False,False
26,True,True,False,False,False,False
27,False,False,False,False,False,False
28,False,False,False,True,False,False
29,True,False,False,True,False,False
30,False,True,True,False,False,False
31,True,True,True,False,False,False
32,False,False,False,True,True,True
33,True,False,True,False,True,True
34,True,False,True,False,False,False
35,False,False,False,True,False,False
36,False,False,False,True,True,False
37,False,False,True,True,True,True
38,True,True,False,False,False,False
39,False,True,True,True,True,True
