,0,1,2,3
0,39,16,119,309
1,53,40,188,202
2,23,14,111,335
3,34,26,115,308
4,43,32,146,262
5,49,24,145,265
6,142,88,101,152
7,97,69,138,179
8,134,70,104,175
9,133,80,105,165
10,84,58,146,195
11,120,61,112,190
12,98,52,139,194
13,94,65,124,200
14,55,43,147,238
15,40,32,142,269
16,28,16,179,260
17,46,25,111,301
18,57,55,145,226
19,73,27,142,241
20,114,40,125,204
21,164,129,68,122
22,85,65,116,217
23,37,23,189,234
24,87,48,121,227
25,251,88,59,85
26,105,70,97,211
27,129,84,76,194
28,108,74,84,217
29,47,24,96,316
30,9,5,194,275
31,15,2,147,319
32,14,5,208,256
33,69,58,139,217
34,9,9,204,261
35,123,78,97,185
36,148,70,91,174
37,210,112,55,106
38,151,77,78,177
39,134,101,77,171
