,BelBehAgreement
0,0.625
1,0.725
2,0.525
3,0.8
4,0.8
5,0.45
6,0.85
7,0.65
8,0.55
9,0.5
10,0.8
11,0.625
12,0.55
13,0.6
14,0.7
15,0.575
16,0.875
17,0.7
18,0.65
19,0.675
20,0.5
21,0.675
22,0.6
23,0.475
24,0.525
25,0.775
26,0.775
27,0.65
28,0.775
29,0.875
30,0.55
31,0.625
32,0.675
33,0.7
34,0.6
35,0.6
36,0.6
37,0.625
38,0.4
39,0.625
40,0.775
41,0.725
42,0.5
43,0.775
44,0.725
45,0.8
46,0.8
47,0.7
48,0.675
49,0.775
50,0.45
51,0.65
52,0.65
53,0.725
54,0.7
55,0.625
56,0.85
57,0.45
58,0.625
59,0.625
60,0.525
61,0.5
62,0.625
63,0.75
64,0.725
65,0.675
66,0.575
67,0.425
68,0.6
69,0.45
70,0.625
71,0.7
72,0.725
73,0.5
74,0.475
75,0.8
76,0.675
77,0.475
78,0.6
79,0.5
80,0.55
81,0.6
82,0.9
83,0.65
84,0.625
85,0.75
86,0.6
87,0.7
88,0.65
89,0.775
90,0.55
91,0.8
92,0.95
93,0.8
94,0.55
95,0.725
96,0.775
97,0.65
98,0.65
99,0.65
100,0.75
101,0.675
102,0.55
103,0.7
104,0.625
105,0.875
106,0.625
107,0.725
108,0.6
109,0.7
110,0.5
111,0.5
112,0.725
113,0.75
114,0.7
115,0.7
116,0.6
117,0.725
118,0.6
119,0.65
120,0.45
121,0.6
122,0.525
123,0.85
124,0.65
125,0.75
126,0.8
127,0.725
128,0.625
129,0.575
130,0.55
131,0.65
132,0.7
133,0.575
134,0.9
135,0.65
136,0.725
137,0.775
138,0.45
139,0.5
140,0.5
141,0.625
142,0.7
143,0.55
144,0.775
145,0.625
146,0.8
147,0.7
148,0.675
149,0.7
150,0.625
151,0.825
152,0.7
153,0.95
154,0.625
155,0.6
156,0.4
157,0.875
158,0.525
159,0.725
160,0.475
161,0.75
162,0.575
163,0.575
164,0.65
165,0.5
166,0.575
167,0.7
168,0.6
169,0.75
170,0.575
171,0.525
172,0.75
173,0.675
174,0.575
175,0.7
176,0.6
177,0.775
178,0.65
179,0.575
180,0.575
181,0.9
182,0.6
183,0.8
184,0.6
185,0.75
186,0.55
187,0.675
188,0.8
189,0.65
190,0.6
191,0.625
192,0.7
193,0.8
194,0.65
195,0.775
196,0.65
197,0.65
198,0.6
199,0.575
200,0.6
201,0.5
202,0.425
203,0.475
204,0.6
