,0,1,2,3,4,5
0,True,False,False,True,False,True
1,False,False,False,False,False,False
2,False,True,False,False,False,True
3,False,False,False,False,False,True
4,False,False,False,False,False,True
5,False,True,False,True,False,False
6,False,False,False,True,False,True
7,False,False,False,True,False,False
8,True,False,False,True,False,False
9,False,True,True,False,False,False
10,True,False,False,False,False,False
11,True,False,False,True,True,False
12,True,False,False,False,False,False
13,True,False,False,False,False,True
14,True,False,False,False,True,False
15,False,False,False,False,False,False
16,False,False,False,False,False,False
17,True,False,False,True,True,False
18,False,False,False,False,False,False
19,False,False,True,True,False,True
20,False,False,True,False,False,True
21,False,False,True,False,True,False
22,True,True,False,False,True,False
23,False,False,False,False,False,False
24,True,False,False,False,False,True
25,False,True,False,False,False,True
26,False,False,False,True,True,True
27,False,False,False,True,True,True
28,False,False,False,True,True,True
29,True,False,False,True,False,True
30,False,False,False,False,False,False
31,False,False,False,True,False,False
32,False,False,False,False,False,False
33,False,False,False,False,False,False
34,False,False,False,False,False,False
35,True,False,False,False,True,True
36,True,False,False,True,True,True
37,True,False,True,True,True,True
38,True,False,True,False,True,True
39,True,False,False,False,False,True
