,Metric,Obvserved,Null_Mean,Null_Std,Permutation p-val,itemID
7,f1_macro,0.5934571572863476,0.4625749763741778,0.0221959824173097,9.999000099990002e-05,0
19,pr_auc,0.9507200362949024,0.91740102500515,0.0092150594209872,0.0003999600039996,0
29,f1_macro,0.4783028878950959,0.4944923486428679,0.0212133018157725,0.7817218278172183,1
41,pr_auc,0.8413871269861951,0.8471566413464491,0.0126658361234751,0.669033096690331,1
51,f1_macro,0.5558865717753503,0.4436536451887601,0.0229727274613535,9.999000099990002e-05,2
63,pr_auc,0.9734012245211288,0.948804620973963,0.00719325109118,0.0001999800019998,2
73,f1_macro,0.5695486464449824,0.4672300131860917,0.022000585551411,9.999000099990002e-05,3
85,pr_auc,0.943294088566399,0.9081089800930334,0.0097856906416733,0.0003999600039996,3
95,f1_macro,0.5360981610981611,0.4807830969834605,0.0218087084750844,0.006999300069993,4
107,pr_auc,0.8996736049081999,0.8809023426228947,0.0112605516275248,0.0473952604739526,4
117,f1_macro,0.5626336178489335,0.4791634268608919,0.0217588104275686,0.0002999700029997,5
129,pr_auc,0.931339210578912,0.8844829093794788,0.0109209357439477,9.999000099990002e-05,5
139,f1_macro,0.6085278465107702,0.5424001548700048,0.018398574348635,0.0002999700029997,6
151,pr_auc,0.6223189544096883,0.5794047320942664,0.0191760886219281,0.0168983101689831,6
161,f1_macro,0.558709421137422,0.530981024437233,0.0188701854674241,0.0716928307169283,7
173,pr_auc,0.7252055496824044,0.7065568253338445,0.016795124046648,0.1370862913708629,7
183,f1_macro,0.6371368864633346,0.5397848540892086,0.0185100122401618,9.999000099990002e-05,8
195,pr_auc,0.7303231886878487,0.6316632854506479,0.0183593031852541,9.999000099990002e-05,8
205,f1_macro,0.6152885712440532,0.5415131772712031,0.018344138379739,0.0001999800019998,9
217,pr_auc,0.6795877848078327,0.6137655638780893,0.0186261472796371,0.0002999700029997,9
227,f1_macro,0.5540892798957315,0.522500447581464,0.0196228028372871,0.0573942605739426,10
239,pr_auc,0.7994019241271769,0.753826513685015,0.015513568292038,0.0027997200279972,10
249,f1_macro,0.6341373708891409,0.5352535250280592,0.0187276517449133,9.999000099990002e-05,11
261,pr_auc,0.75355220326899,0.6774186964862131,0.017679731191443,0.0001999800019998,11
271,f1_macro,0.588290423210293,0.5251643096611137,0.0193603685114861,0.0006999300069993,12
283,pr_auc,0.7914406623377213,0.7380537570685323,0.0159653007873819,0.0008999100089991,12
293,f1_macro,0.588895443880515,0.5289153703719541,0.0192851591684373,0.0013998600139986,13
305,pr_auc,0.7668569284089037,0.7205634422912908,0.0165722647315838,0.0036996300369963,13
315,f1_macro,0.5406906906906906,0.4981051890394361,0.0209988843557547,0.0245975402459754,14
327,pr_auc,0.8739130785782652,0.8378616686137907,0.0132061340687088,0.0033996600339966,14
337,f1_macro,0.5352893037246749,0.4781841108845957,0.0219103602289038,0.0063993600639936,15
349,pr_auc,0.9065194873993244,0.8865868099835796,0.0109041569967623,0.0361963803619638,15
359,f1_macro,0.4751901484969214,0.4510967942909555,0.0230012427158778,0.1462853714628537,16
371,pr_auc,0.9472933748421802,0.9368120050499308,0.0080112972567414,0.0964903509649035,16
381,f1_macro,0.6096134645556982,0.4770080998697207,0.0217028416702927,9.999000099990002e-05,17
393,pr_auc,0.9414604809819644,0.8883484339715056,0.0108052625811632,9.999000099990002e-05,17
403,f1_macro,0.5281544292915478,0.5067488715538676,0.0204919673232156,0.1498850114988501,18
415,pr_auc,0.8113786102206328,0.8113028612800384,0.0137902310295584,0.4923507649235076,18
425,f1_macro,0.6019457245263697,0.4994434154803638,0.0208198517266568,9.999000099990002e-05,19
