,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.000999900009999
7,1.0
8,9.999000099990002e-05
9,0.0013998600139986002
10,1.0
11,0.0182981701829817
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,0.9948005199480052
22,1.0
23,1.0
24,1.0
25,0.9979002099790021
26,0.007099290070992901
27,9.999000099990002e-05
28,0.00019998000199980003
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,0.00019998000199980003
36,9.999000099990002e-05
37,0.9996000399960004
38,9.999000099990002e-05
39,9.999000099990002e-05
