,0,1,2,3,4,5,6
0,0.13317,0.11481,0.11488,0.39083,0.00035,0.06558,0.42015
1,0.03195,0.33928,0.00776,0.12007,0.45455,0.09388,0.02547
2,0.93293,0.00551,0.30246,0.42411,0.18495,0.13243,0.00131
3,0.08693,8e-05,0.25039,0.09321,0.03695,0.06043,0.06069
4,0.57105,0.12314,0.38814,0.13034,0.00337,0.1544,0.47695
5,0.86545,0.04911,0.44267,0.36411,0.0015,0.36146,0.48906
6,0.99901,0.35059,0.14312,0.16259,0.00042,0.05973,0.45926
7,0.71224,0.35239,0.38678,0.34834,0.02355,0.32715,0.15863
8,0.0731,0.40036,0.35543,0.42115,0.44323,0.0177,0.21155
9,0.99716,0.3252,0.10286,0.16393,0.04764,0.0025,1e-05
10,0.9988,0.00699,0.05697,0.1228,0.00734,0.00232,1e-05
11,0.14279,0.05382,0.16562,0.00566,0.27634,0.23364,1e-05
12,0.21825,0.23201,0.12104,0.00363,0.01994,0.074,2e-05
13,0.86247,0.00186,0.25445,0.18213,0.37982,0.02573,0.00017
14,0.13352,0.04146,0.28919,0.05356,0.4216,0.07051,1e-05
15,0.10957,0.38652,0.03647,0.13726,0.40608,0.37847,0.13947
16,0.9082,0.00124,0.08198,0.4573,0.03697,0.39154,0.01326
17,0.41094,0.01719,0.33965,0.18006,0.13041,0.44185,0.01463
18,0.68082,0.31208,0.15425,0.29267,0.01122,0.33627,0.01591
19,0.12296,0.31413,0.00556,0.19243,0.20143,0.17611,0.23527
20,0.35736,0.07227,0.40588,0.28606,0.03571,0.07817,0.40395
21,0.70964,0.41411,0.36623,0.23271,0.06924,0.22259,0.27486
22,0.72352,0.25682,0.25175,0.46598,0.02439,0.20291,0.09673
23,0.51032,0.13277,0.3777,0.2326,0.01167,0.13975,0.48962
24,0.92955,0.34207,0.28114,0.19057,0.00277,0.32317,0.40873
25,0.08462,0.05367,0.31949,0.04109,0.02625,0.01657,0.00515
26,0.80867,0.21104,0.40003,0.33639,0.16038,0.35299,0.16407
27,0.62661,0.25515,0.28811,0.13841,0.04799,0.44263,0.02801
28,0.10115,0.34395,0.0898,0.31605,0.00122,0.22322,0.37313
29,0.96285,0.00777,0.27089,0.23328,0.10283,0.20927,0.0066
30,0.05505,0.00082,0.39962,0.39919,0.4709,0.06398,0.08836
31,0.33178,0.19606,0.09553,0.36767,0.01368,0.01396,0.28658
32,0.40531,0.46201,0.28767,0.09347,0.33131,0.39847,0.37611
33,0.10227,0.02398,0.14388,0.07013,0.04124,0.07473,0.17856
34,0.76557,0.36432,0.28959,0.04244,0.38606,0.3226,0.1023
35,0.53399,0.35585,0.37713,0.29422,0.00514,0.06414,0.11616
36,0.67139,0.24381,0.44364,0.24579,0.03131,0.15064,0.02705
37,0.12252,0.20686,0.31375,0.19174,0.3958,0.02312,0.44391
38,0.21791,0.23173,0.03416,0.00604,0.17744,0.43446,0.0576
39,0.06595,0.14577,0.00879,0.06722,0.24216,0.16871,0.07225
40,0.99211,0.16376,0.43305,0.03141,0.03405,0.34922,0.4443
41,0.26985,0.36447,0.31658,0.14536,0.31814,0.46889,0.16725
42,0.26635,1e-05,0.33121,0.00074,0.00315,0.28044,0.02897
43,0.84222,0.0383,0.49748,0.00186,0.00769,0.15107,1e-05
44,0.94483,0.33259,0.19196,0.12717,0.30207,0.00589,0.22701
45,0.99871,0.49527,0.25455,0.18423,0.00054,0.02089,0.38348
46,0.96824,0.00013,0.45317,0.23514,0.20899,0.02326,0.00636
47,0.49664,0.00035,0.28781,0.36222,0.13647,0.1635,1e-05
48,0.9281,0.00962,0.33738,0.09288,0.41069,0.06206,1e-05
49,0.92047,0.0275,0.24377,0.4734,0.04509,0.30899,1e-05
50,0.57442,0.18167,0.43876,0.01038,0.01575,0.23856,1e-05
51,0.40204,0.36334,0.39096,0.01119,0.01013,0.05119,1e-05
52,0.8083,0.16212,0.4801,0.01214,0.38238,0.37687,1e-05
53,0.85291,0.16693,0.02629,0.18238,0.09653,0.44804,1e-05
54,0.57131,0.02845,0.42282,0.4036,0.02535,0.02244,1e-05
55,0.01934,0.2255,0.08007,0.38013,0.01277,0.48225,0.00155
56,0.95974,0.00605,0.32522,0.15321,0.02169,0.0027,0.00623
57,0.43741,5e-05,0.49495,0.47427,0.01542,0.15472,0.39467
58,0.84279,1e-05,0.04242,0.1274,0.33074,0.39497,0.00119
59,0.92332,0.16376,0.49843,0.24188,0.30728,0.33512,1e-05
60,0.81788,0.42224,0.04446,0.32579,0.13366,0.34921,1e-05
61,0.41929,0.1637,0.3402,0.19007,0.02431,0.04578,1e-05
62,0.27149,0.1336,0.42411,0.4934,0.23059,0.10059,1e-05
63,0.77993,0.14316,0.03637,0.23143,0.34265,0.42581,1e-05
64,0.44707,0.48515,0.43303,0.14121,0.18621,0.14444,1e-05
65,0.99886,0.07552,0.02348,0.29317,0.00645,0.00289,0.00836
66,0.69816,0.18222,0.06707,0.3853,0.10341,0.43199,0.17863
67,0.50775,0.00152,0.08848,0.3795,0.00502,0.18425,0.18874
68,0.59098,0.34467,0.1929,0.04646,0.17565,0.14235,8e-05
69,0.74897,0.42784,0.07104,0.47067,0.00998,0.19903,0.19107
70,0.93046,0.48083,0.0584,0.04222,0.00449,0.17016,0.06287
71,0.81194,0.00449,0.46864,0.30137,0.00845,0.31596,0.48787
72,0.89496,0.21446,0.46179,0.3571,0.00023,0.22527,0.08407
73,0.89107,0.35366,0.02953,0.37204,0.01189,0.30344,0.31761
74,0.2187,0.01303,0.17805,0.46613,0.14892,0.06649,0.01734
75,0.99955,0.37051,0.42993,0.29199,0.00194,0.00905,0.14052
76,0.55138,0.18699,0.34493,0.27992,0.00905,0.02905,0.42723
77,0.22297,0.24795,0.38078,0.39089,0.1204,0.03981,0.00034
78,0.99771,0.46075,0.19321,0.04647,0.00507,0.18048,0.39893
79,0.99263,0.1504,0.1588,0.00638,0.01332,0.30774,0.37504
80,0.00076,0.34294,0.10355,0.0752,0.03835,0.07328,0.15457
81,0.60099,0.44994,0.09163,0.41362,0.43605,0.43143,0.03742
82,0.95345,0.18149,0.19035,0.43615,0.00487,0.35194,0.10086
83,0.23124,0.39274,0.11882,0.34747,0.1326,0.35156,0.02348
84,0.67671,0.39816,0.14,0.3966,0.03487,0.34244,0.47204
