,participant_A,participant_B
0,11890233,11890724
1,11890959,11891966
2,11890173,11890394
3,11890701,11890887
4,11890064,11890118
5,11890858,11891024
6,11890157,11890400
7,11890541,11890900
8,11890371,11891094
9,11890868,11907171
10,11890557,11890565
11,11890558,11891028
12,11890142,11891725
13,11890204,11891158
14,11890423,11890510
15,11890211,11891008
16,11890997,11907152
17,11890670,11890864
18,11890814,11892003
19,11890334,11891228
20,11890125,11891143
21,11890077,11890707
22,11890126,11890691
23,11890189,11907178
24,11890183,11890245
25,11891038,11892172
26,11889644,11890062
27,11890223,11907171
28,11890864,11892224
29,11890552,11891143
30,11890641,11890656
31,11890094,11890565
32,11890670,11890797
33,11890065,11890966
34,11890284,11890694
35,11890191,11890874
36,11890259,11890320
37,11890342,11891944
38,11890865,11891115
39,11890284,11890850
40,11890389,11891793
41,11890478,11892201
42,11890422,11891314
43,11890119,11907133
44,11890269,11890285
45,11890699,11907116
46,11890204,11890518
47,11890586,11907109
48,11890228,11890804
49,11890251,11890365
50,11890709,11892172
51,11890697,11891100
52,11890210,11890673
53,11891100,11907431
54,11890382,11892079
55,11890259,11890995
56,11889650,11890156
57,11890363,11890820
58,11889665,11890197
59,11890956,11890990
60,11890117,11907133
61,11890659,11891726
62,11890059,11890160
63,11890284,11891777
64,11890059,11907116
65,11890433,11890858
66,11891268,11907178
67,11890271,11890694
68,11890432,11891730
69,11890724,11891187
70,11890320,11891011
71,11890484,11890864
72,11890312,11892163
73,11890223,11890285
74,11890594,11890655
75,11890647,11891325
76,11890091,11891725
77,11890106,11890959
78,11890154,11890193
79,11890097,11890277
80,11890154,11892065
81,11890089,11890339
82,11890495,11890861
83,11890109,11907109
84,11890282,11890670
85,11890287,11891280
86,11890214,11890734
87,11890233,11890857
88,11890696,11891732
89,11890262,11891147
90,11890511,11890565
91,11891024,11892022
92,11890312,11891941
93,11890163,11890396
94,11890122,11890520
95,11890158,11890874
96,11890432,11891325
97,11890075,11891115
98,11890346,11890475
99,11890966,11891245
100,11890308,11891008
101,11890091,11890227
102,11890892,11892194
103,11890156,11890299
104,11890844,11891020
105,11891231,11907152
106,11890142,11890687
107,11890233,11890423
108,11890789,11890868
109,11890579,11890960
110,11890707,11891158
111,11890376,11891314
112,11890094,11890804
113,11891030,11891759
114,11890415,11891777
115,11890096,11890183
116,11890363,11890428
117,11890119,11890192
118,11890460,11890567
119,11890121,11890731
120,11890091,11890701
121,11890342,11890656
122,11890174,11891173
123,11890612,11890837
124,11890502,11890900
125,11890251,11890709
126,11890134,11890541
127,11890101,11890106
128,11890549,11890770
129,11890558,11907171
130,11890148,11891732
131,11890978,11891047
132,11890454,11891742
133,11890198,11891787
134,11890329,11890558
135,11890144,11890669
136,11890100,11890313
137,11890327,11890342
138,11890163,11890182
139,11890502,11892182
140,11890182,11890870
141,11890101,11890601
142,11890167,11891025
143,11890167,11890865
144,11890844,11907112
145,11891110,11892003
146,11890132,11890454
147,11890328,11891011
148,11890149,11890668
149,11890274,11890313
150,11890300,11891725
151,11890063,11891025
152,11890175,11891206
153,11889646,11890314
154,11890576,11890920
155,11890192,11891231
156,11890287,11891726
157,11890271,11890675
158,11891115,11891797
159,11890107,11890861
160,11890351,11890811
161,11890144,11890576
162,11889684,11891762
163,11890223,11892065
164,11890244,11892183
165,11890612,11892214
166,11890320,11890398
167,11890365,11892051
168,11889652,11890678
169,11890848,11891039
170,11890074,11890536
171,11890724,11890990
172,11890253,11891249
173,11890091,11890814
174,11890709,11891212
175,11890189,11890907
176,11890274,11890770
177,11890579,11890978
178,11890473,11891997
179,11890775,11892045
180,11890107,11890259
181,11890120,11890143
182,11890086,11891732
183,11890406,11890670
184,11889652,11890233
185,11890256,11890552
186,11889650,11890453
187,11890400,11891002
188,11890837,11891173
189,11890196,11891025
190,11890227,11891787
191,11890371,11891080
192,11890192,11890870
193,11890282,11890601
194,11890245,11890339
195,11890249,11890705
196,11889644,11890063
197,11890548,11890647
198,11890457,11890548
199,11890540,11890923
200,11890594,11890697
201,11890089,11890185
202,11890529,11890865
203,11890586,11891206
204,11889654,11890211
205,11889644,11890144
206,11890427,11890959
207,11890221,11890380
208,11890099,11890394
209,11890312,11890415
210,11890820,11891731
211,11891341,11892022
212,11890245,11890548
213,11890907,11891158
214,11890587,11891245
215,11890191,11890272
216,11890705,11891787
217,11890385,11890565
218,11890545,11890694
219,11890062,11891231
220,11890114,11890300
221,11890303,11890598
222,11890114,11890289
223,11890400,11891008
224,11890427,11890861
225,11890327,11890407
226,11891094,11907109
227,11890209,11890233
228,11890166,11890256
229,11890744,11890997
230,11889645,11890072
231,11890342,11890520
232,11890696,11890705
233,11890074,11907098
234,11890612,11891762
235,11890194,11890641
236,11891249,11892178
237,11890214,11907089
238,11890100,11890510
239,11890701,11890971
240,11890376,11890848
241,11890157,11892224
242,11890088,11892178
243,11890109,11890371
244,11890129,11890749
245,11890117,11890240
246,11890068,11890740
247,11891158,11892213
248,11890287,11891269
249,11889652,11907111
250,11889688,11890177
251,11890858,11891973
252,11890196,11890586
253,11890668,11891249
254,11890174,11891082
255,11890097,11890126
256,11890522,11890750
257,11890398,11907093
258,11889644,11890805
259,11890669,11891777
260,11890072,11890119
261,11890229,11890510
262,11890094,11890111
263,11890079,11891024
264,11890068,11891335
265,11890273,11891249
266,11890346,11890529
267,11890118,11890978
268,11890312,11890868
269,11890113,11891941
270,11890490,11891759
271,11890400,11891007
272,11890089,11907116
273,11890245,11890323
274,11890101,11891206
275,11891267,11892201
276,11890204,11891966
277,11890490,11891187
278,11890697,11891127
279,11890390,11890700
280,11890329,11890920
281,11890158,11890366
282,11890368,11890417
283,11889651,11890205
284,11890354,11892205
285,11890119,11892172
286,11890233,11891034
287,11890587,11907098
288,11890114,11890857
289,11890105,11907152
290,11890243,11890274
291,11890214,11890385
292,11890328,11890484
293,11890346,11890870
294,11890265,11891956
295,11890910,11891742
296,11890229,11890310
297,11890575,11892163
298,11890422,11907136
299,11890363,11890848
300,11890126,11890477
301,11891100,11892045
302,11890887,11891147
303,11890581,11891970
304,11890216,11890475
305,11890313,11892003
306,11890183,11890518
307,11890367,11890652
308,11890656,11891080
309,11889718,11891961
310,11890857,11891742
311,11891002,11891094
312,11890328,11891181
313,11890694,11890820
314,11890329,11890673
315,11890221,11891216
316,11890177,11890581
317,11890072,11891011
